ID,D_Percent,D_Sig_Percent,S_Percent,S_Sig_Percent,urbanArea,CName,Clabel
38,0.763655306,0.20016371500000002,0.763878553,0.192052389,10603.90039,South Guangdong,C1
125,0.870834941,0.526218963,0.8449762,0.44169561300000004,5674.209961,East Jiangsu,C2
16,0.57568911,0.162961289,0.478686549,0.27352010800000004,4366.0,Beijing,C3
186,0.945915064,0.378042278,0.609407732,0.262064369,3870.610107,Shanghai,C4
22,0.522341629,0.18851810000000002,0.569004525,0.214536199,2821.530029,East Fujian,C5
225,0.739221872,0.23774973700000002,0.765860498,0.250368034,2108.23999,Hangzhou&Jiaxing,C6
204,0.870099668,0.39202657799999996,0.750830565,0.361461794,2009.369995,Tianjing,C7
79,0.65604854,0.28278346600000004,0.806977626,0.219453925,1844.180054,Zhengzhou,C8
226,0.775659824,0.239296188,0.819648094,0.302346041,1510.5,Hangzhou&Shaoxing,C9
172,0.845591594,0.35354042900000004,0.809958885,0.287300137,1500.189941,Weifang,C10
195,0.725373134,0.209950249,0.834825871,0.243781095,1479.050049,Chengdu,C11
152,0.590486039,0.237021717,0.724922441,0.14860393,1360.910034,Xian,C12
45,0.593851133,0.371305286,0.756742179,0.34595469300000004,1269.890015,South Hebei,C13
164,0.734671731,0.311068909,0.652197504,0.154801953,1263.98999,Jinan,C14
169,0.686908078,0.208635097,0.464066852,0.20473537600000002,1253.829956,Linyi,C15
148,0.782233503,0.262436548,0.537563452,0.184771574,1242.910034,Shengyang,C16
42,0.608194622,0.233802817,0.623559539,0.18642765700000002,1219.579956,East Guangdong,C17
181,0.827240143,0.309318996,0.707526882,0.156630824,974.2600098,Qingdao,C18
118,0.540625,0.16328125,0.75234375,0.2328125,922.789978,Nanjing,C19
233,0.900646204,0.469951535,0.89095315,0.218739903,922.7709961,East Ningbo,C20
11,0.734758511,0.236975455,0.758511481,0.287648456,919.7199707,Hefei,C21
214,0.62226776,0.28237704900000005,0.680327869,0.301502732,908.8259888,Wulumuqi,C22
190,0.42481203,0.121804511,0.882706767,0.260150376,898.6010132,Central Shanxi,C23
62,0.834315169,0.177319588,0.886597938,0.26789396200000004,875.3599854,North Hebei,C24
230,0.665247019,0.197103918,0.81516184,0.42623509400000004,868.197998,North Ningbo,C25
