D2W_D,W2D_D,D2W_S,W2D_S
0.053478263,-0.25113744,0.21651895,-0.31033897
-0.33168787,-0.10432806,0.22679535,0.2336986
0.031096345,0.32235956,-0.21799497,0.275227
-0.17180611,0.0416795,0.3781413,-0.019448476
-0.21846688,0.08145344,0.49521974,0.29055429
-0.26735455,-0.04628344,0.33873904,-0.061267227
0.25327733,0.11854827,0.06619357,-0.18600288
-0.18225352,-0.17726575,0.29895127,0.0497968
-0.18055536,-0.21653387,0.30472803,0.009757615
-0.23882571,-0.07333982,0.31605303,0.12837099
-0.28723645,-0.17606649,0.35270026,0.051435854
-0.08317343,-0.017211797,0.03703022,0.0010095106
-0.10727976,-0.16532584,0.21772724,0.065875985
-0.29614887,-0.108713634,0.28213763,0.29508796
-0.22084817,-0.010190229,0.2677609,-0.08647527
-0.13753414,-0.2079941,0.27063406,0.29687974
-0.32169014,0.05908917,0.08461133,-0.12946145
-0.14470029,-0.14754616,0.14204264,-0.054089762
-0.17327471,-0.1695346,0.21513496,0.21001026
-0.17550224,-0.20948333,0.096438065,0.09364845
-0.06194093,-0.17739578,0.11909346,-0.056182288
-0.07939394,0.08473325,0.25920025,0.118649535
0.8508716,0.28873768,-0.1702449,-0.08837867
-0.24632819,-0.20029749,0.0683274,0.31126517
-0.24000001,-0.074101746,0.10720743,0.26924628
0.42898595,-0.03254415,-0.12717639,-0.2333975
0.11098206,-0.07772321,-0.046811093,-0.04523308
0.18320319,0.023926942,0.019634139,-0.033719473
-0.1070021,-0.0071181445,0.08325951,0.070308566
-0.22969237,-0.127101,0.01353314,-0.12777974
-0.28505376,0.13037114,0.1894561,-0.017579686
-0.08261533,0.052937068,0.24748175,0.02503426
-0.4105692,0.13659443,0.11314596,-0.22014892
-0.33292785,-0.019373996,0.12059976,0.27787802
-0.41398445,-0.2371173,-0.0016178439,0.3107024
-0.14068682,-0.19470361,-0.039737206,0.3839026
-0.20568344,-0.02117059,0.13751954,0.16969034
-0.11736272,-0.04934959,0.04627846,-0.029259171
-0.21604042,-0.065076835,0.012170443,-0.11995514
-0.058441557,-0.1640457,0.052883167,0.16272382
0.19543326,0.06335356,0.043479126,-0.15111704
-0.058262803,-0.4297887,0.17410196,-0.13654827
-0.41926867,-0.19615507,0.12824592,-0.09791082
-0.27175164,-0.0498686,-0.014750022,-0.122022346
-0.058483995,0.02,-0.09958274,0.083532
-0.46132433,-0.04091712,0.04886968,-0.07899319
-0.2903927,-0.01828999,-0.018915795,-0.29259372
-0.15233195,0.13243839,-0.20663303,0.00022858247
-0.22501229,-0.094055876,-0.16926207,-0.21137907
-0.17997764,0.073793106,0.08421542,0.09227576
-0.17621417,0.34877095,0.125468,0.096739426
0.020794941,0.11543218,0.05215552,-0.03421983
0.026799971,-0.21125503,0.00010808161,-0.15460454
-0.08247546,-0.0061685825,0.01793175,-0.06461244
0.0866537,-0.22904322,0.246699,0.048975457
-0.2615686,-0.115122885,0.25804186,0.21546432
0.1389855,-0.20330049,-0.052941896,0.117500044
-0.2505949,-0.122956894,0.032071147,-0.12240093
-0.12017241,-0.030591324,0.11415967,0.14396892
-0.10179781,-0.015921187,0.12181497,0.30843303
-0.2095943,0.034403548,0.19104296,0.13618818
-0.14365156,-0.17860545,0.102349356,0.19950102
-0.22798477,-0.18291037,0.025881972,-0.117433116
-0.2605951,-0.054814816,0.013439179,0.10788791
-0.035255864,-0.22863217,-0.20241237,-0.0650244
-0.2124424,-0.072864674,0.034910884,0.02134813
-0.2784759,-0.21019447,0.09045541,0.41239354
-0.0904116,-0.16729045,0.11952938,-0.053781457
-0.09926339,0.006134646,0.15438421,-0.07637751
0.07617518,-0.18050437,-0.011434566,-0.07202597
0.048296273,-0.27876693,0.3074323,0.026549758
-0.35770833,-0.19501002,0.1930762,0.030693406
-0.43080235,-0.26083332,0.1511956,0.0776855
-0.039617572,-0.0277492,0.010948075,-0.11486354
-0.4822252,-0.16242583,-0.011767171,0.24565923
-0.13360323,-0.15430692,0.031825908,0.06348173
0.15352654,0.09818399,-0.0031093077,-0.00022624042
-0.34714285,-0.1451847,-0.16516717,0.00041195814
-0.34527114,-0.20214954,-0.055730138,0.015509697
0.2327704,-0.25434923,0.1749015,0.10812619
-0.22276779,0.52458334,0.1403651,0.40526727
-0.12296501,-0.10227831,-0.106261,-0.0985806
-0.1923599,-0.1287931,-0.03729235,0.21396779
-0.20006305,-0.40039983,0.070825666,0.60373145
-0.15473393,-0.10052631,0.08710412,0.13252564
-0.15683502,-0.048237495,0.08942565,0.13350625
-0.36443403,0.15174757,0.08299721,-0.08671248
-0.37854505,0.055816077,0.07029454,-0.02176778
-0.4235249,0.010268096,0.114331834,0.06483511
0.03333333,-0.09929152,0.22670802,0.48486766
0.051286593,-0.09103627,0.30298898,0.11349463
-0.044022985,-0.3252472,0.115452796,0.07984688
-0.17207548,-0.21035929,0.098481335,0.1371011
-0.13090384,0.17649958,-0.15321554,-0.21430156
0.14667724,-0.21740048,-0.13893354,0.15628402
-0.19382098,-0.3578118,0.14421235,0.07983804
-0.16444989,-0.1907752,0.011934044,0.06240214
-0.3258904,0.050983608,0.00014303433,-0.15646796
-0.12506855,-0.19792265,-0.08704314,0.2429639
-0.37900788,0.16779765,0.21609412,0.03729104
-0.047608696,0.31317103,0.033947382,-0.21974109
-0.030410958,0.057737768,-0.02107644,-0.0927956
-0.1048318,-0.21912913,0.06382967,0.030084167
0.2929502,-0.100130245,-0.14917946,-0.054878768
