D2W_D,W2D_D,D2W_S,W2D_S
-0.028224126,0.17495286,-0.029523913,-0.027790586
-0.14034833,-0.048952382,0.07872175,0.17483072
-0.20625542,0.2959038,-0.016941031,-0.00019220587
-0.15450391,0.2087679,0.073583774,-0.019427512
0.2805393,-0.012250323,0.22999209,0.47200733
-0.2870162,-0.10393721,0.19519399,0.17182237
0.38726956,0.006441771,0.030406848,0.18542477
-0.15551636,-0.12160288,-0.03610804,-0.105842166
-0.4059956,0.05934732,-0.045627467,-0.15239897
-0.048039827,0.19770959,-0.029132234,0.037261575
-0.07058823,0.010909478,-0.23005632,-0.08425219
,0.3070412,,0.14903302
-0.07915296,0.25089744,0.038173795,-0.24214324
-0.31032813,-0.58939016,0.15678906,0.059746828
-0.35427135,-0.34104574,0.4738868,0.29385015
-0.33698192,-0.28494528,0.13472942,0.12716877
0.09728916,0.2291586,0.33917603,0.29438636
0.023244929,0.42535827,0.33172962,0.07907867
-0.2552056,-0.2683631,0.14724146,0.21797256
-0.114761904,0.056071427,0.055341113,-0.13768847
-0.07609086,-0.20088089,0.61264324,0.12752809
-0.033969186,-0.22853933,0.2684088,0.24193631
0.07052023,0.19017819,0.2933101,0.2821241
-0.14884123,-0.33381507,0.15886177,0.098396145
-0.2191957,-0.22004583,0.1334679,0.04278892
-0.0750138,0.10559185,0.104749314,0.023093782
-0.00071707927,0.39153376,0.04810938,0.39140615
-0.3116648,-0.22402878,0.0551579,-0.11111938
-0.15757793,-0.1988889,0.18679197,0.18542583
-0.13173375,-0.2673939,0.16565636,0.17045966
0.35595855,-0.1474477,0.103938736,0.05750405
-0.13513805,-0.032272726,0.28191367,-0.06464311
-0.1498091,0.21239732,-0.13391905,-0.31074077
-0.09526573,0.22278689,0.25723112,0.030151723
-0.120039,-0.011388276,0.23954557,0.23140253
-0.096229255,0.01661425,0.045431554,0.17596005
-0.25668025,-0.04528491,-0.20428793,0.3508316
-0.22591124,0.13955776,0.15307318,0.2411922
-0.32147372,-0.12617046,0.05264372,0.01892824
-0.16564502,-0.15082954,-0.053599108,-0.18750508
-0.3884875,0.20717287,-0.022287952,0.034773238
0.118202895,-0.020833507,0.03092633,-0.09346223
-0.15013193,-0.24354939,0.109209195,0.15841745
0.11105625,-0.27168646,-0.072162375,-0.13353905
-0.11245032,-0.077543855,0.17271335,0.36079228
-0.2192,0.08296612,-0.0017293768,0.10216731
0.061470326,0.1477185,0.2289652,0.25465575
0.02137976,0.09140845,0.1754178,0.3256116
-0.23824058,0.16467533,-0.31672797,0.01694857
-0.20516606,-0.037772886,0.026574628,0.034743283
0.012809657,-0.074600145,-0.13058348,0.20306957
-0.19698997,0.5988124,-0.058345,0.0074506295
-0.015561584,0.19166473,-0.02530872,0.17152993
-0.2489836,-0.240261,0.13190836,0.11769977
-0.16480249,-0.07604782,-0.007775664,-0.03266067
-0.099826664,-0.37207288,-0.031196497,0.19708185
-0.2537745,0.23337232,0.07504037,0.1753671
-0.23094429,0.048151735,0.041960634,-0.02544566
-0.24769975,-0.23211329,0.10657582,-0.035929717
-0.17056799,-0.008860759,0.1616557,-0.07112254
-0.08534856,0.37922585,0.18670297,-0.048036102
-0.07471819,-0.12975721,0.13099514,0.026954096
-0.21177582,0.012552187,0.17819875,0.010173044
-0.11265598,-0.027487684,0.18514223,0.17224656
-0.28127146,0.11775482,0.1478702,0.013161191
0.098416835,-0.024754215,0.15464617,0.090689875
0.008818088,-0.032865304,-0.02187899,0.08651439
-0.3494001,-0.14616433,-0.03941755,0.044639666
-0.4758454,-0.08447553,-0.0495104,-0.063624084
0.13944511,-0.07717033,-0.273557,-0.025075026
-0.103208065,-0.2106181,-0.009224309,-0.055226143
-0.09336099,0.4304613,0.10197109,0.7518048
-0.0644,0.27411672,0.16309597,-0.26592505
-0.34356144,-0.17828216,0.25024018,-0.16475302
0.08690305,-0.08504681,0.15140888,0.03570058
0.21177423,-0.07255708,0.34478533,0.93005973
-0.22792794,0.0018541031,0.0985434,0.15527937
-0.06406869,-0.18358883,-0.1659382,0.15012388
0.070396274,-0.17236674,0.30563703,0.51636225
-0.16321588,0.30307814,0.21430908,-0.07012729
-0.017591126,0.14166714,-0.1946751,0.024477817
-0.030839805,-0.058951784,0.036992844,0.3096954
-0.09274936,-0.03824003,0.20426627,0.19785438
-0.2229799,0.018055964,0.2393282,-0.033020407
-0.18136208,-0.05842233,0.03157226,-0.051354684
0.2453997,-0.021695748,-0.12977177,0.059103817
0.10647482,-0.11543934,-0.1983593,0.023396406
-0.14462776,-0.36460105,0.07724791,0.07562341
0.009165923,-0.17980199,-0.04877997,-0.10332193
0.13188933,-0.33338758,0.31318828,0.09270831
0.122725695,-0.11102976,0.21769705,-0.07249907
0.031612903,-0.37024775,-0.00037127384,-0.07090339
-0.23908974,-0.3883859,0.025783878,0.03500553
