D2W_D,W2D_D,D2W_S,W2D_S
0.19694382,-0.20667565,-0.014796947,-0.055067234
0.22152603,-0.001794871,0.14470574,0.085253246
0.25934428,-0.20395201,0.032763373,0.0063826772
-0.0018656552,0.002436474,0.07696366,0.04651141
0.20032129,-0.24320754,-0.074524105,-0.122626975
-0.07628955,-0.027546898,0.023501905,-0.04560453
-0.23563707,-0.17082563,0.28329372,0.043932907
-0.25835493,-0.1812295,0.1539316,0.05076877
-0.17880568,0.018703956,0.024475202,0.061375614
0.0933423,-0.25178605,0.1052406,0.13780904
-0.13557348,-0.3241818,0.1429556,0.39749137
-0.13553578,-0.08699855,0.2694736,0.2053338
-0.15110798,-0.011051325,-0.047361813,0.059712604
-0.13040568,-0.2943441,-0.056600485,0.007988745
0.09289157,-0.06466751,-0.017137282,-0.045502923
-0.06454877,-0.13468227,-0.0056731272,0.029651979
0.004445482,-0.25030348,-0.031443592,0.106889814
-0.07133822,-0.10416914,0.012285251,0.09899283
-0.06855066,-0.18369591,-0.0032978696,0.42270657
-0.05335181,-0.16863635,0.104671046,0.20688578
-0.26486182,-0.0041690394,-0.0870878,-0.22732611
-0.34451148,-0.14566894,0.14642817,0.28963795
0.16286445,-0.04094261,0.06747493,0.09119258
0.10745955,-0.34468144,0.20042872,0.17708747
-0.24992073,0.1428833,-0.042191,-0.2427279
-0.0052084476,-0.27380744,-0.31151146,-0.07466258
-0.045085978,-0.29792783,-0.08777436,-0.18920702
-0.0020145737,-0.21743017,-0.051136047,0.02058331
-0.21060073,0.542827,-0.22218987,0.14346623
0.024525464,-0.5011547,0.57150304,0.35282204
-0.10622197,-0.22618264,0.09193916,0.31708366
0.19886628,0.09180694,0.12666492,0.57275623
0.3254974,-0.3659225,0.25429422,-0.15822867
0.048106983,-0.25847876,-0.059407778,-0.005030046
0.15003246,-0.31028512,0.19921088,0.40724882
0.5815845,-0.20282304,0.11090601,-0.03396786
-0.158739,-0.22542301,-0.04193882,-0.15092474
0.04585591,-0.2181459,-0.014446443,-0.15161002
-0.21965954,-0.072823234,0.18593258,0.24572484
0.008913364,-0.15328816,0.00026918677,0.18469036
-0.03552007,-0.20483732,0.11015341,0.20194957
-0.3441195,-0.16962704,0.342789,0.27561432
-0.07815313,-0.38275096,0.10244641,0.15568309
-0.026086368,-0.17947525,-0.04177358,-0.048376966
-0.23179427,-0.31726325,0.45808026,0.18762003
-0.25940672,-0.117911026,0.106140845,0.26115137
-0.36292234,-0.15267183,0.3279781,0.055861868
-0.3530109,-0.2776818,0.11630563,0.24906108
-0.19080585,-0.31431797,0.23270233,0.2797132
-0.16819012,0.007936507,0.18187512,-0.03865677
-0.08885646,-0.17337695,0.21918692,0.18463077
-0.2227309,-0.13524827,0.16977166,0.1975458
0.028493404,-0.15429543,-0.031203067,-0.04874147
-0.09468046,0.34121212,0.115269534,0.0704289
0.0088597275,-0.15968785,-0.05430887,0.074312724
-0.019795917,-0.09979592,-0.067595534,0.04650083
-0.124621294,-0.17632768,0.08888304,0.086706296
-0.18339106,-0.32526627,0.14550632,0.10533026
-0.19397017,-0.1560735,0.12429244,0.17152613
-0.20125306,-0.1674717,0.009569784,-0.036860686
-0.18080014,-0.30394873,-0.07000008,-0.15694954
-0.27966493,-0.21637237,0.057358366,0.03484145
-0.11911564,-0.044171356,0.015701735,-0.0643202
-0.10191472,-0.2690502,-0.05956802,0.06742586
-0.06396584,-0.43583524,0.079523474,0.09969681
-0.26495194,-0.057991892,0.25257453,0.1354932
0.03826035,-0.14333683,0.14427862,0.22340284
-0.22679633,-0.13232717,0.14239663,0.15784341
-0.29575506,-0.22014219,0.09466199,0.22867529
-0.40660995,-0.25917107,0.004309833,0.022808455
-0.1991961,-0.24810874,-0.12183494,-0.09219879
-0.09223051,-0.21202493,-0.14340767,-0.057550356
-0.20081481,-0.26395726,-0.0924116,-0.19873103
-0.19891518,-0.17030051,0.022653533,0.16886204
-0.05332908,-0.082253896,0.06408659,0.13876748
-0.32382342,-0.1278626,0.20042494,0.102835625
0.32351086,-0.26804712,0.037260346,0.0042289915
-0.1868616,-0.032112338,0.12551865,0.25662655
-0.11326591,-0.11767525,-0.024085257,-0.07957346
-0.15208738,-0.045522906,0.14734437,0.1524034
0.091740824,-0.22003415,0.18016209,0.11558837
-0.052552447,-0.18358898,0.048729908,0.07268902
0.012891326,-0.1656715,0.07849334,0.06796142
0.21684685,-0.3262963,0.045979492,0.32353413
-0.12477252,0.16819695,0.09967441,0.03535964
-0.23499194,-0.28467625,0.016642248,0.25402543
-0.2770055,-0.24515152,-0.035276342,0.22659431
0.16068152,0.04498283,-0.04422762,0.06840434
-0.031944208,0.09493918,-0.0072209304,0.12092068
-0.1901949,-0.1617578,0.12467015,0.10517265
0.10108108,-0.29653862,0.06085072,-0.053401798
-0.2366161,-0.23125353,0.3349335,0.16416919
-0.017980767,-0.008237533,0.14861163,0.27447522
0.03748715,-0.4029232,-0.18054977,0.14139764
-0.23245555,-0.3863904,0.101618744,0.24975325
-0.24489775,-0.09819572,-0.08741947,0.075255774
0.16956294,-0.29414687,-0.023269983,0.022880074
-0.09463634,-0.013219954,0.08023122,0.09105114
-0.1130245,-0.2554593,0.23340996,0.17550972
-0.22056472,-0.22310343,0.37168175,0.26939178
-0.16833866,-0.3218471,0.18597831,0.2083648
-0.22696751,0.14400467,0.26181057,0.14845139
-0.10181008,0.39982283,0.12668964,0.017281687
-0.4478466,0.09279793,-0.022590918,-0.012253409
-0.27881503,-0.13035524,0.058098685,-0.08793055
0.16402036,0.12194552,0.09525993,-0.064728685
0.28116006,0.11482758,0.12479741,-0.03985601
-0.11325401,0.011347424,0.13742353,0.070898116
-0.15032154,-0.2318607,0.2929065,0.19047348
-0.2180304,-0.263547,0.15400712,0.15046526
0.013617024,-0.15003395,0.03703906,0.056173187
-0.22624436,-0.2614935,0.13271058,0.05950322
-0.1647873,-0.1092444,-0.017196693,-0.14647314
-0.08479271,-0.14076427,-0.007972937,-0.0022971497
-0.18057108,-0.1456658,0.14862767,0.083314896
-0.1370115,0.02694296,-0.030347865,-0.112844214
-0.2918976,0.022648513,0.15271981,0.08922049
0.027957961,-0.09275265,-0.029093707,0.053478435
-0.16750848,0.042669617,-0.05652618,0.08473685
-0.29650366,-0.39892745,0.24260467,0.090409584
-0.07706977,-0.063058704,0.007572651,-0.01703196
-0.13620229,-0.25411347,-0.010532151,0.019866796
-0.3135394,-0.27475908,-0.0370879,0.101156265
-0.2459091,-0.02184397,-0.050938383,0.21968901
-0.07351637,-0.07953131,-0.0027106625,0.04676847
-0.19602373,-0.009127449,0.10106177,-0.06545585
-0.043207545,0.047468707,0.20734905,0.08291918
-0.10148461,0.08906747,0.0051115034,-0.09320638
-0.047880225,0.084703654,-0.013499092,-0.055389736
0.017704591,0.11107143,0.03360219,0.08084165
-0.26043478,-0.09958175,0.12922944,0.18063064
-0.23783436,-0.3281511,0.19485845,0.05043006
0.02858013,-0.10968198,0.22968699,-0.15516205
-0.4733773,-0.008296791,0.22628804,0.07784886
-0.32592627,-0.1116029,0.31242055,-0.034966547
-0.32508448,-0.3403723,-0.06552685,0.33605617
-0.18576315,-0.33359954,-0.011699193,0.1623252
-0.32899302,-0.3917048,-0.01601065,-0.091355
0.0026530623,-0.33652258,0.041391384,-0.044295833
-0.5342157,-0.10364055,-0.05643515,-0.09304255
-0.15020233,-0.012717765,-0.0019539145,0.15336017
-0.10467134,0.023939393,-0.09511486,-0.066152275
-0.15206821,-0.1631025,0.29777712,0.15053448
0.12418569,0.16320124,0.095996454,0.004136793
0.10500113,0.019517448,0.1555523,-0.05051816
0.0122096315,-0.14165375,0.07060274,-0.028770575
-0.039006058,-0.25313222,-0.11938382,0.013076708
-0.2598434,-0.22557437,-0.042847503,-0.022821851
-0.37154987,-0.39770734,-0.10210791,0.13593163
-0.4214451,-0.24877563,-0.11639393,-0.031775057
-0.21362099,-0.22885391,0.0032956481,0.04044278
-0.13614349,-0.32733026,-0.05357959,0.043459173
0.05359719,-0.22913045,-0.097168095,-0.016480971
0.0022081584,-0.094236314,-0.16196346,-0.17310122
-0.17300001,-0.12918973,-0.018799918,-0.091068834
-0.09191467,-0.13437638,-0.2880635,0.049133513
-0.55754703,-0.33234075,0.034077574,0.18517965
-0.15299504,0.09520089,-0.08545161,-0.049664397
-0.0010130256,-0.30284992,-0.13477589,0.011649493
-0.21418995,-0.074435115,0.45773843,0.21813667
-0.110654764,-0.080611214,0.07009074,0.14704993
-0.29279068,-0.085357144,-0.035246123,0.004772196
-0.020310786,-0.26093167,-0.12022792,0.053779937
0.03226327,-0.24584454,0.16598667,0.04425226
0.249419,0.04101853,-0.053736594,0.14477915
-0.14638439,-0.15909648,-0.019476242,-0.009503598
-0.25562456,-0.18408388,-0.15611263,-0.16032557
-0.26779318,-0.0058503374,0.30640426,-0.033642184
-0.25648624,-0.23597157,0.3544972,0.4800197
-0.27309346,-0.012282215,0.11890231,-0.028569072
-0.08088677,-0.3857659,0.08691412,0.16403335
-0.340989,-0.10925054,-0.087881885,0.17493255
0.104399376,-0.017122416,0.029916622,0.29089725
0.17998168,-0.24954382,0.48544416,0.28621656
-0.37,-0.23775586,0.09470717,0.19806294
-0.23548612,0.115791254,0.034252275,0.0308461
-0.216768,0.05713228,0.058861393,0.0109471185
-0.04676796,-0.092269786,0.3138106,0.22420748
-0.07905869,0.013650794,-0.089377575,0.04255268
-0.102341734,-0.17751166,-0.008982626,0.08545006
-0.007654194,-0.23631033,0.28308094,0.2993058
-0.10897616,-0.12575449,-0.03512811,0.1515261
-0.12806949,-0.08333972,0.34908003,0.34232396
0.26358417,0.06742887,0.13950737,0.20108753
-0.2848645,-0.14014041,-0.08164715,0.015026793
-0.10441146,-0.10612847,0.40693998,0.39566183
0.011025641,-0.042598374,0.46831465,0.54017
-0.17167082,-0.13156897,0.020156806,0.12303171
0.17070246,-0.20796332,0.002609275,0.40677872
-0.22148204,0.032250337,0.38732612,0.5762995
-0.22137272,-0.16336617,-0.06166807,-0.079713725
-0.4534239,-0.056463767,0.31079647,0.5342647
-0.086941645,-0.105378665,0.094814144,0.48181218
-0.15232779,0.017285015,0.31322232,0.38910076
-0.23080716,-0.24783438,0.29745463,0.20631939
-0.06522398,-0.11014441,0.5241038,0.25550997
0.024017856,0.19624573,0.07155142,0.101800956
-0.27319852,-0.03004681,0.20682862,0.15433988
-0.18472782,0.10548922,0.09362679,0.15969716
-0.1426126,-0.12310987,0.28994688,0.29864186
-0.40063107,-0.1531913,0.4751885,0.3163019
-0.3248484,-0.071779706,0.29396492,0.3744474
-0.06809983,-0.26390567,0.13042746,0.23973884
0.087091066,-0.13495663,-0.05954563,0.05212351
-0.21287096,-0.030129883,0.12399018,0.2181518
-0.17003572,-0.12948653,0.088448524,0.27049044
-0.04344415,-0.23720762,0.46631134,0.56318015
-0.1759364,-0.023133073,0.42973188,0.42621928
0.020186886,0.124814816,0.35175368,0.60555905
-0.23574978,0.08492007,0.32867977,0.318563
-0.06929001,-0.18512204,0.31522572,0.21022661
-0.18237549,-0.3428348,0.033941858,0.10783574
-0.42300403,0.042638436,0.58066094,0.38480073
-0.39282528,-0.19561747,0.020212943,0.09908736
-0.2349203,-0.19300485,0.44702262,0.29632935
-0.3012737,0.13454482,0.1857889,0.5278427
-0.24956521,0.06357272,0.2035747,0.460747
-0.119574025,-0.1836183,0.23341458,0.28632006
-0.3113773,-0.035801988,0.14002584,0.38870335
-0.26569125,-0.0053407364,0.17101687,0.25521284
-0.29207355,-0.17654553,0.34991452,0.52347124
-0.20359907,0.029785834,0.18171889,0.17436713
-0.0017460324,-0.19723618,0.06610152,-0.017473197
0.009523086,-0.2551863,0.17998935,0.04394541
-0.10246082,-0.1257523,0.26112127,0.070178434
-0.08446585,-0.03625,0.19430937,0.088459454
-0.078192234,0.06147583,0.21272296,-0.022926847
0.1563372,0.11721902,0.10961424,-0.0684476
-0.29030758,0.18493506,0.060260642,0.020023242
-0.101155065,-0.07137364,-0.010915316,0.07944895
-0.26258364,-0.027671568,0.10129716,0.21009198
-0.21677396,0.049223192,0.19776697,0.37776464
-0.22021085,-0.024553116,0.26394188,0.40132904
-0.14093468,-0.17565456,0.51251847,0.42374718
